# reward	DS0	DS1	DS2	DS3	_DS4	Rft	Casualty	Cost	Resilce	CarbnEm	Enbbd
370.59670284799023	173.0	95.0	104.0	63.0	39.0	5316090.740527472	62.0	3837270.7649258664	99038.48867325205	60865.89446757203	157703.09114953649
376.3975889195376	168.0	119.0	97.0	49.0	41.0	5272844.399295005	75.0	3585311.93928214	92966.12283450493	54464.32738125421	152660.98645173956
372.89883751709664	164.0	92.0	110.0	70.0	38.0	4711550.177673788	86.0	3579202.488739062	99396.91427177907	53494.62509235102	144055.4155314258
371.02178592761106	165.0	98.0	109.0	54.0	48.0	5032656.373264486	125.0	4190030.3751452356	98759.37686899872	64489.81359014756	166392.05315165845
373.91914045544047	163.0	99.0	120.0	56.0	36.0	5390419.116603293	54.0	3735912.446028523	97634.5538590234	58701.9161336713	147498.10048569512
364.0264242125143	153.0	99.0	117.0	54.0	51.0	5176799.403591472	105.0	4025704.555724141	109193.70590155202	64391.230950510224	167717.47247757728
375.5118646808466	171.0	95.0	113.0	63.0	32.0	5464471.344647265	73.0	3406750.828303245	99748.66745366028	53707.06671711166	138392.47742059478
375.6730763679851	182.0	93.0	102.0	58.0	39.0	5302555.12209682	101.0	3769754.585253264	93585.68756829057	64993.45259195201	153019.86190386253
367.5081073147185	146.0	99.0	128.0	60.0	41.0	5512321.288814402	64.0	4099455.566311653	106758.04583244705	57916.58780607242	159802.72699484433
368.1902962333607	160.0	102.0	115.0	46.0	51.0	4706363.969489535	91.0	3973378.2814310854	100579.87043915055	63043.37507876511	159236.77746501158
369.3527243681633	146.0	101.0	123.0	61.0	43.0	5132817.687461452	77.0	3674584.5886980114	104374.14909903285	54881.544695162156	152020.0425415599
366.7382919325028	154.0	83.0	120.0	70.0	47.0	4861570.504687565	80.0	4392800.956097644	105495.60105489957	64720.25141528787	179717.89674019438
372.3320780241521	175.0	78.0	126.0	55.0	40.0	5429148.86973749	83.0	3520896.5471718023	100081.3969876309	55426.11309599235	147428.62116876425
373.3276606206272	194.0	80.0	104.0	60.0	36.0	5656005.226366823	73.0	3571691.433279994	90545.1451836093	59536.34847964847	145831.53064449248
371.2067276298535	183.0	78.0	113.0	60.0	40.0	5836412.936601978	60.0	3583072.7651295504	97500.76360985034	58855.21244396534	143472.50327296613
375.6085553763169	171.0	107.0	105.0	57.0	34.0	5369423.842020769	48.0	3046057.557393501	97261.89208822348	49667.98665930905	129306.7819094783
367.7902380700253	160.0	102.0	110.0	57.0	45.0	5215944.232994555	58.0	4049092.3608990028	105504.80114467672	59196.07276580506	165370.8319888276
373.85308507959206	166.0	108.0	111.0	55.0	34.0	5878640.455270272	67.0	3334237.36414002	93707.00573835187	52515.09940530189	138883.92541833653
371.36393521724654	154.0	108.0	117.0	51.0	44.0	5287346.277350473	66.0	3928215.5722505394	97805.03981543126	64027.16110619505	165503.8152859451
366.7528746477209	166.0	95.0	105.0	58.0	50.0	4936468.693189448	77.0	4379046.098852296	106253.47003427957	70181.39434945365	182640.56915024738
370.6654299305691	168.0	88.0	127.0	50.0	41.0	5239919.9584886115	104.0	3770554.210646348	99615.36297687527	59920.982817876575	151646.64603927324
370.1661832352812	159.0	100.0	111.0	65.0	39.0	5307877.452155826	70.0	3875928.4320074776	98576.88271296442	63060.30896744885	153290.41409564216
375.43547355162286	172.0	98.0	104.0	61.0	39.0	4841269.97052434	59.0	3735333.5770858834	99107.71127282275	54707.47516610601	154227.65523739826
370.8114178971391	165.0	97.0	113.0	50.0	49.0	5160360.466147648	87.0	3861140.399162594	102935.3760348034	69825.47824178077	152948.78432069352
366.6477579069809	155.0	99.0	111.0	57.0	52.0	4811623.310822577	94.0	4420895.497755887	100847.22351999182	66434.65428931543	171332.54323628478
368.5242248553142	164.0	95.0	108.0	62.0	45.0	4964898.6470845565	100.0	4296060.965679813	99615.50591835054	70394.45661467827	174390.6297381477
372.5240040599423	151.0	111.0	116.0	56.0	40.0	5434234.244493264	72.0	3984323.209002914	95862.6079472717	60889.91063024251	159304.85030626078
372.28657775327173	157.0	95.0	124.0	59.0	39.0	5216317.7541133445	67.0	3795759.696893893	101397.83779698203	54074.956309127054	154835.415254728
372.4613824924248	157.0	102.0	109.0	69.0	37.0	5277487.754895598	58.0	3918757.2062951233	93380.11857694313	62058.76184217716	162789.79232179382
370.33945824418845	168.0	95.0	107.0	65.0	39.0	5148565.67596691	89.0	3672771.9705138416	99630.1843784125	58611.666945920064	151552.77401094523
375.27803169301694	187.0	85.0	104.0	61.0	37.0	5548527.157588216	61.0	3624202.846456636	93643.44421272927	48123.428845765244	144986.68999099493
365.7342002346014	153.0	105.0	105.0	65.0	46.0	5267980.678052303	93.0	4117803.924002214	102274.92013544383	64304.61268733899	162674.04255382295
371.8415119671598	150.0	111.0	114.0	62.0	37.0	5371694.500867724	69.0	3749149.1625580955	95871.95701057781	61914.56946791249	157290.95835598657
372.1149034399088	176.0	101.0	106.0	44.0	47.0	5347692.502640495	82.0	3685476.6348353783	101895.42270569364	61837.55440197411	153117.00408016157
370.89893891583256	175.0	98.0	104.0	50.0	47.0	5011707.607394115	79.0	3753146.5849481598	98685.28299479675	59378.66724284393	153172.17760844732
362.84774872642396	153.0	99.0	106.0	61.0	55.0	5221416.336467372	67.0	4526307.7553261155	103616.6937097607	72762.79483352657	186378.7299918724
364.9333637710198	161.0	88.0	101.0	80.0	44.0	5102554.491970689	85.0	4135997.062100445	108816.76204812941	70365.12219391187	169862.54964595527
375.6582949010589	181.0	86.0	108.0	65.0	34.0	5234710.64914028	63.0	3634329.608665444	96434.22928119254	53664.0661913315	149656.77132279743
370.54942905655923	157.0	98.0	117.0	61.0	41.0	5309356.033640519	47.0	3925469.267701582	100312.52589879447	65176.08790237093	159459.435079378
369.2546666031843	157.0	90.0	117.0	70.0	40.0	5230116.68481372	107.0	4231347.763025311	101672.17929526676	51446.04516794737	167676.70248765973
369.2668463497446	168.0	89.0	116.0	55.0	46.0	5159524.85151447	86.0	4134300.1041784156	101542.14515038367	63633.327325812126	165696.6995003696
369.7630877869286	164.0	93.0	114.0	56.0	47.0	5082260.996740862	83.0	4156103.6702944776	102826.0173219754	62125.308393533734	170295.9436117023
372.93680745071754	151.0	122.0	104.0	61.0	36.0	5395686.429738816	60.0	3609037.771583233	96305.06310962277	53568.6344200546	137364.4740245206
370.93145429989374	147.0	107.0	119.0	56.0	45.0	4722127.001603545	64.0	4108039.968444898	101203.15927299502	60677.612089579634	167978.65030006357
369.301620750718	161.0	87.0	123.0	60.0	43.0	5167962.424731292	76.0	3947562.4100118796	100588.80114898577	58503.47079046709	158121.52627257397
369.7175254405831	142.0	107.0	124.0	60.0	41.0	4944306.921718119	95.0	3982074.9221893842	100232.61766409659	65784.05907335982	163714.0812470198
368.88386373401954	162.0	92.0	108.0	76.0	36.0	5411385.517596286	63.0	3695618.8104088744	95207.61416575889	63520.71894145977	150971.59711282264
368.6582562117036	164.0	103.0	90.0	72.0	45.0	5351220.098774131	82.0	3992932.6802870072	101464.58326479624	62173.89130277532	166149.769752023
375.81677819474	170.0	103.0	115.0	46.0	40.0	5201856.623148132	84.0	3441677.6523400466	96936.911077359	53896.86296059763	139142.90318659972
369.6940027574294	155.0	105.0	106.0	68.0	40.0	5437134.994165913	62.0	4012707.5137898307	97090.86698015951	60926.30565037101	158441.46995598509
367.49872221958515	149.0	106.0	107.0	69.0	43.0	4950655.682592909	67.0	4022873.01924795	108408.71140173546	62981.8746201567	163772.15616199162
376.2833572035103	174.0	99.0	121.0	43.0	37.0	5562641.749595206	41.0	3375648.2662844453	91561.88152969102	53367.61252232929	140152.11204723147
371.782056965857	174.0	103.0	105.0	45.0	47.0	5073471.880214935	76.0	3983329.5907058856	101118.38686483957	57338.5015100611	157710.96173315268
367.37365326579436	143.0	97.0	124.0	66.0	44.0	4428193.05693232	98.0	4348155.788551114	107299.70190244899	64065.97678339193	177369.67762623396
372.48448602940624	163.0	104.0	113.0	51.0	43.0	5284413.745511292	94.0	3952431.9734903434	98500.63094790862	64667.022185923626	159012.4358644286
367.4470054424666	156.0	85.0	118.0	72.0	43.0	5037832.778387891	89.0	4220938.53981266	107236.75688519038	63546.76971939794	171835.06929106882
371.413113766486	158.0	94.0	117.0	62.0	43.0	5069255.165990509	71.0	3969222.3470047466	104098.72075143235	59867.103213572016	160725.60918021726
365.75845939889325	168.0	89.0	122.0	45.0	50.0	5182319.730953438	92.0	4307254.609455807	110016.46267970596	68043.2149634118	176671.5418989528
371.9474271995371	155.0	98.0	125.0	57.0	39.0	5101442.864475034	112.0	4138221.094710721	97540.85056895982	59088.481608925526	161846.50523263356
362.4896302421905	162.0	79.0	109.0	70.0	54.0	5040250.101233173	79.0	4760509.646090737	107092.24372496888	72406.20458537096	187893.83194773176
373.0639243047094	167.0	94.0	111.0	61.0	41.0	5038525.607384118	75.0	3699700.171868826	99229.86942639963	58184.01786739586	151747.94832420995
369.40845254984197	161.0	88.0	119.0	64.0	42.0	5036373.873709065	81.0	4227948.653339807	100050.90312065442	61734.15346494874	168139.0636510612
370.41843591436157	163.0	94.0	108.0	70.0	39.0	4948219.745637005	82.0	4012818.7055395497	99127.71601334772	60129.148238630216	160058.79901845678
370.4652261894306	156.0	95.0	125.0	59.0	39.0	5606622.938541857	84.0	3795674.690441184	99820.02364042973	53160.82898655521	155033.69912206652
371.46761336930047	162.0	99.0	114.0	57.0	42.0	5293004.545132141	99.0	3686031.671288565	100914.63712620246	63648.70777716667	155407.18444843765
368.1893326630233	163.0	92.0	113.0	66.0	40.0	5743602.597125243	55.0	3897023.3089170097	98649.11388964954	57992.6983692274	162557.5950993185
376.49960820831154	178.0	102.0	109.0	51.0	34.0	5581476.02762706	65.0	3378360.039274262	95980.80448981721	52153.669890962425	141038.9053966166
373.28323091530706	150.0	111.0	125.0	50.0	38.0	4876903.926000318	52.0	3674379.6965164803	101280.85497443864	59942.087174910506	153308.68031152833
367.66048369386226	145.0	109.0	113.0	57.0	50.0	5311347.518254243	114.0	4000552.752626718	106032.31518493194	56278.760947936404	160629.71916023263
372.7500418789267	172.0	91.0	118.0	48.0	45.0	5456239.345154455	77.0	4014884.3447677623	97007.26503890337	54620.249379161265	166893.08012755396
364.5182951764807	155.0	91.0	123.0	53.0	52.0	5254164.568862246	102.0	4175377.9819312454	101881.8025136615	62502.88120907954	172908.96203414985
368.0213238417542	168.0	88.0	103.0	69.0	46.0	5170858.302503924	71.0	4346692.509631291	103750.65012078181	59020.360687281194	177277.49858604855
373.19929772629916	166.0	102.0	119.0	44.0	43.0	5438137.700182787	82.0	3414395.9014905374	98636.75309846611	48971.65530626384	135552.7047864183
376.4402909507831	161.0	112.0	117.0	48.0	36.0	5276210.2079276405	49.0	3353400.7252798267	92543.57758956858	47985.53022653471	141783.0815416989
376.6866243495457	159.0	117.0	111.0	54.0	33.0	5626508.8192615	82.0	3109778.093696881	92372.25493793382	45868.105090244106	128606.67732466036
368.3284707954374	168.0	87.0	122.0	49.0	48.0	5255602.324179763	96.0	3865897.1242542025	104779.22122779727	55755.73870372037	153678.258283589
362.3337185461586	158.0	93.0	106.0	60.0	57.0	5092556.860571463	114.0	4660582.832091532	109168.77568775139	76734.04613765707	183873.66350851484
362.2105498276516	162.0	96.0	97.0	67.0	52.0	5310811.051636126	109.0	4460377.887083259	106061.8290160716	65989.00742609543	183973.68812809087
366.21812483238944	157.0	98.0	109.0	60.0	50.0	5421233.648785238	69.0	4322107.948444106	106522.37331243212	66642.18080288192	171946.14483591722
370.76731040086224	164.0	100.0	114.0	54.0	42.0	5242655.308766764	76.0	3926540.7052924107	102625.83967302545	65945.71101205252	153338.25204074115
365.97976950545166	167.0	101.0	89.0	71.0	46.0	5334692.055967689	75.0	4270394.896155752	102625.34051691988	61436.758341840155	163587.30079637002
375.8189646475568	160.0	113.0	106.0	62.0	33.0	5474248.87344115	88.0	3487250.151690686	94449.34755944603	49733.67378882243	141937.569495465
369.6752539622479	180.0	111.0	87.0	48.0	48.0	5444298.822106337	91.0	3554774.2730205017	101297.56594262575	61320.99446012283	146974.98128270076
372.31988806077516	163.0	93.0	118.0	58.0	42.0	5117300.722018539	71.0	3901697.7544404985	98558.75394587504	65621.51256354434	160736.93224425905
381.42782851898585	169.0	104.0	126.0	49.0	26.0	5451321.071343817	44.0	3057285.808393481	90708.95042813903	51829.02238165219	124913.15132210817
369.9699578093192	149.0	108.0	111.0	67.0	39.0	5073599.372726343	59.0	4102976.689589274	102038.29475540205	66714.6241443977	164098.67698792877
367.4607427371302	148.0	94.0	119.0	67.0	46.0	5306842.746643596	85.0	4100872.205154436	108644.76229595055	60231.19473686558	163292.45591703348
369.7980342356416	169.0	89.0	116.0	63.0	37.0	5543034.303464953	66.0	3761294.063741879	98034.83054984594	56920.954056531555	153416.5413194698
369.87619479737884	166.0	91.0	103.0	72.0	42.0	4961993.3731212	94.0	3925763.494081782	100620.0789947719	53322.402649627824	157788.64646498085
369.8772862784124	165.0	92.0	101.0	72.0	44.0	4817727.867711449	97.0	3921386.2787533733	102412.64059675374	61365.155069037144	157997.87524737354
368.65026235955514	160.0	88.0	119.0	67.0	40.0	4905026.303603109	95.0	4061182.759970197	102842.8296345372	57410.13318043346	168221.6920712235
371.32057813541655	154.0	107.0	111.0	65.0	37.0	4997924.323748075	117.0	3910069.7577561443	100543.17804607408	54600.27028137752	162874.84423243324
371.5476185118638	181.0	96.0	104.0	47.0	46.0	5454940.94849082	70.0	4072755.452445008	98788.77512486832	67967.85449470284	162339.67939305486
