# reward	DS0	DS1	DS2	DS3	_DS4	Rft	Casualty	Cost	Resilce	CarbnEm	Enbbd
311.2742068	31	49	120	130	144	0	263	10064718.27	175133.3653	159153.8108	395412.5763
304.6671223	28	52	110	133	151	0	281	10181826.04	174941.9644	180295.05	405500.406
311.1230842	35	56	126	111	146	0	221	10118109.99	172585.7802	180729.5142	403069.1799
300.7596715	29	51	130	102	162	0	272	11063554.5	181098.6692	186860.4596	435087.9539
305.9122334	36	42	116	121	159	0	291	10515334.64	182394.9798	172366.2135	418283.2508
300.8513015	28	44	120	123	159	0	328	10375002.03	181098.7065	181289.5924	411733.8806
312.0406653	41	52	121	112	148	0	252	10170902.07	177398.8191	175957.539	403717.2028
306.0197509	20	39	133	130	152	0	262	10956721	175201.5208	165894.4152	436529.8687
316.7407212	29	58	125	127	135	0	237	9786687.768	167268.3812	154664.3769	384223.2747
312.0749362	29	41	130	145	129	0	293	10224114.87	173581.6301	163861.0491	400623.4603
303.9722537	27	52	116	117	162	0	299	11163203.28	181547.4511	178837.6695	432621.4282
316.7061308	35	56	132	117	134	0	244	9825618.168	169217.8685	157273.1649	375140.4436
299.1962003	20	47	124	118	165	0	255	11236715.42	185679.4057	195985.2959	445940.6673
314.3123544	30	63	126	120	135	0	251	9590745.876	168307.2157	167424.9567	385640.746
305.1489482	24	42	122	134	152	0	251	10899355.43	178504.8597	182894.904	436174.9574
320.3381582	32	53	127	139	123	0	207	9691963.547	163532.3951	158653.0667	386970.4248
307.8707601	25	51	122	127	149	0	280	10565234.84	178087.04	167476.4498	414242.1079
301.9588492	25	61	111	113	164	0	304	10785768.27	175144.8987	183487.2349	429803.3086
301.3536584	31	48	108	130	157	0	318	10410011.68	179780.2603	169231.8232	411865.8467
305.3838519	23	56	121	121	153	0	290	10292719.72	177452.4529	170779.6856	411420.5048
315.7751081	22	53	137	134	128	0	263	9523900.505	165125.9401	155753.2902	381130.2368
314.9885482	23	64	126	125	136	0	277	9209377.197	172203.3919	151385.4214	375739.3783
315.2129467	29	56	120	129	140	0	259	10568279.32	163991.8588	174176.5251	413362.3486
303.3959014	20	45	125	136	148	0	321	10340851.32	180624.7606	168176.5366	399458.9795
317.0033961	35	60	118	122	139	0	265	9411998.883	165549.0582	161459.2391	365756.5084
304.5376102	29	46	118	125	156	0	202	10406260.32	177685.4626	175879.0936	419371.43
322.3846626	40	51	135	129	119	0	221	9427185.467	167408.2782	171594.3561	388096.6796
312.6540276	31	58	118	123	144	0	264	10121685	171160.0719	162702.2337	399950.8275
304.574124	24	49	127	119	155	0	244	10985597.9	178393.1781	178862.1955	428675.2914
309.0523384	22	46	130	131	145	0	232	10358781.38	174785.0352	176090.963	404815.0743
312.3429051	35	37	132	122	148	0	224	10461791.74	174489.7653	176893.4841	410828.2543
320.4076338	33	55	138	119	129	0	281	9413284.78	162968.9349	159173.1235	379715.0432
315.4497916	30	56	135	115	138	0	281	9473267.615	166358.5127	160399.9015	371733.4528
312.1157347	46	41	125	111	151	0	252	10060902.76	176298.3901	182182.1552	405368.8658
316.1354103	31	62	126	124	131	0	244	9385575.309	168698.4963	157945.6892	370947.856
312.5379799	31	49	134	120	140	0	270	9351600.215	169766.1406	163663.7736	379753.4279
318.740851	31	54	133	127	129	0	205	9270343.105	167275.72	151635.4692	386106.2865
310.5020599	21	49	131	130	143	0	185	10078843.25	174580.3931	176194.4163	390874.3299
312.4478004	30	50	131	123	140	0	256	10379946.68	173496.6137	168472.1683	415079.1371
306.5721213	29	47	123	127	148	0	310	10492281.71	175115.3416	176817.004	407703.9353
305.0104416	30	50	132	106	156	0	219	9983359.487	175361.2258	170532.7254	406017.0416
308.0272331	27	50	108	147	142	0	295	10412174.83	172184.5078	174087.5659	412081.3543
