# reward	DS0	DS1	DS2	DS3	_DS4	Rft	Casualty	Cost	Resilce	CarbnEm	Enbbd
401.44356417439025	194.0	118.0	117.0	31.0	14.0	3501547.77471806	15.0	2039065.8062393325	86145.79763988299	24376.347395295434	82440.36665416515
402.6780181209094	231.0	96.0	94.0	38.0	15.0	3518808.6240232396	20.0	2036855.9277555193	77969.94294896374	27584.704278877107	84419.81288366689
402.21169870810616	216.0	109.0	99.0	35.0	15.0	3495176.551242598	28.0	1847171.1054975803	79000.47399628306	25918.695318751707	77623.56607069811
399.95836174346414	216.0	108.0	93.0	38.0	19.0	3500930.7296329	43.0	2395827.877356531	77342.2314537767	34709.26797570372	97035.84236425358
405.5987727651777	210.0	116.0	106.0	29.0	13.0	3458128.851113688	21.0	1669759.5787779524	75159.99457581677	25567.862387256166	74193.8831613062
400.86352960816635	209.0	105.0	103.0	46.0	11.0	3533206.271981258	34.0	2280502.2236012337	79388.38179280405	30944.027980554518	98273.74984388653
401.86665269890113	213.0	107.0	97.0	45.0	12.0	3454365.0809356794	14.0	2116038.880563237	76976.40982864052	27105.174781827416	89487.11088589454
397.1118792202203	202.0	109.0	102.0	42.0	19.0	3575516.636516167	25.0	2377550.994549623	82762.5660832036	33784.036059537684	97877.14378486766
403.77564658358995	195.0	132.0	93.0	46.0	8.0	3543274.6171869063	10.0	1907324.4547285545	79045.46549144555	27037.57190324807	82025.36836227945
398.90208743145587	203.0	103.0	119.0	33.0	16.0	3430611.644193394	47.0	2198877.378467557	80665.11739831696	34802.837109166336	89928.34128617142
399.91774163446365	211.0	93.0	116.0	42.0	12.0	3460188.432832687	24.0	2087844.3377830647	82513.58917842802	30541.60599706327	86928.95090527172
404.0856640125164	210.0	116.0	100.0	36.0	12.0	3516327.2546520773	22.0	1981592.5177792807	78751.8399700243	27583.694439724502	84662.43834832148
403.2895731306391	200.0	126.0	94.0	41.0	13.0	3524613.2579835127	51.0	1908267.1512095644	76334.9935624536	28865.485264844436	79451.14140339605
402.7605847563808	202.0	117.0	109.0	31.0	15.0	3504165.282309223	11.0	1888407.296459895	76423.7435653143	25639.082596395572	83558.25221356869
399.99610880891123	197.0	110.0	116.0	36.0	15.0	3424728.076469604	35.0	2102089.231580226	80925.43927516894	33509.74390774957	91309.39845548905
402.98725708405675	209.0	125.0	95.0	32.0	13.0	3406014.3244576277	40.0	1989136.0199882877	78735.37910537112	32576.75064932468	84293.25296951173
405.98652476791233	223.0	106.0	107.0	26.0	12.0	3487802.5570053286	20.0	1807129.5162023306	75625.19522561581	21525.246158868373	75261.59273250756
401.17624191129056	193.0	126.0	106.0	35.0	14.0	3520269.468352456	23.0	2062418.538020046	78083.186380278	32332.57720802814	83856.6635643379
403.472686054747	210.0	111.0	113.0	24.0	16.0	3528104.04142637	21.0	2149439.747305149	78799.10368497344	25172.74391201923	87799.40263418145
401.63772562743543	210.0	101.0	107.0	47.0	9.0	3637390.2834000653	10.0	2169254.032508853	82025.67401903457	29598.988814214186	90121.1370011654
401.82754904705	199.0	115.0	109.0	38.0	13.0	3576098.5497209392	29.0	2141568.0281326678	77981.18792495616	35701.7611908484	90399.84345036861
401.4372348004066	192.0	118.0	116.0	38.0	10.0	3481299.297517748	33.0	1968897.4883632332	77803.72824889827	28970.42162140213	85583.69856854239
402.8213784377691	215.0	111.0	93.0	47.0	8.0	3515815.6524801473	9.0	1868252.8018328573	78378.33128655379	27862.795519381507	80191.7638714542
402.76867538748076	220.0	96.0	104.0	41.0	13.0	3439848.4925692696	13.0	1984166.1247517273	82058.60472473869	27674.383737280703	86514.10397644847
399.80344421805717	210.0	109.0	107.0	28.0	20.0	3437429.089941883	33.0	2351149.435742433	87222.54226129924	33417.5627683654	94096.21887208207
401.5761791764668	201.0	118.0	104.0	35.0	16.0	3489038.909246915	27.0	2163249.9304572754	75903.24219939468	29613.393077287434	89141.16010927323
403.4135123459627	214.0	113.0	95.0	40.0	12.0	3526041.6682436	22.0	2199391.7748704534	74963.91065237731	29864.02611401255	92205.14739380332
405.2622098750941	215.0	120.0	94.0	32.0	13.0	3500094.630361759	27.0	2094943.1700587478	73508.30509598364	27756.839772744293	92199.31778401372
404.48282331739813	201.0	110.0	123.0	33.0	7.0	3523089.572188009	16.0	1555504.2697353866	77338.38802132243	21597.99010684858	68410.65089394432
401.98962284868264	179.0	130.0	119.0	34.0	12.0	3407894.983568865	30.0	2041557.9621993261	79482.7401418098	35108.27781415746	83659.42963873089
403.8884699152759	212.0	118.0	97.0	36.0	11.0	3482136.356907324	21.0	1880531.6849744401	73533.39507328787	24617.56347384202	77402.29678903508
402.4485467249466	208.0	117.0	99.0	34.0	16.0	3473413.0419459995	29.0	1842697.7572777644	77093.04750541414	25845.905839770785	78322.13287138788
403.9882592066226	190.0	121.0	120.0	35.0	8.0	3458474.1100822585	25.0	1779808.150740936	74199.47438323137	23062.104820433364	76961.536324232
401.40704317905625	230.0	109.0	78.0	35.0	22.0	3444381.332144465	35.0	2306211.160329915	74743.28580482566	33707.281950915734	98386.80549795296
405.49677039163566	215.0	117.0	96.0	34.0	12.0	3462017.395542734	26.0	1847370.7160374746	70027.34596600152	20541.00175073969	74098.98736219533
398.8720703024422	207.0	111.0	95.0	43.0	18.0	3524115.5503265928	31.0	2440034.2789718984	79084.73725977799	33525.66635605517	100836.54985542013
405.4799766398776	224.0	100.0	103.0	36.0	11.0	3463202.122160706	12.0	1810091.7268917796	75876.25757252602	23262.69254845636	79473.03465939935
405.6357759726292	212.0	113.0	108.0	32.0	9.0	3460621.6197248437	21.0	1639953.7168433727	74104.28534862833	23823.72258920771	70455.93352809428
400.00911556448034	201.0	97.0	129.0	35.0	12.0	3571720.224986838	34.0	2109927.749475031	83442.06385490148	31324.17921347598	86732.33787484773
401.16341721887	221.0	115.0	83.0	37.0	18.0	3484320.6540636644	20.0	2082678.4346317356	76963.98074023411	35163.60760017799	85185.65528937557
402.4534546539341	210.0	107.0	107.0	38.0	12.0	3474582.956991663	12.0	2111706.4883334814	80931.31526932803	33727.1073767752	87274.15689595684
401.78816913093635	197.0	117.0	107.0	45.0	8.0	3510723.756946075	24.0	2064369.2435639487	74875.08545677879	31350.5735849698	85145.93886240345
403.5631028837385	204.0	125.0	99.0	39.0	7.0	3515524.5581626687	28.0	1927649.2952075347	75660.13800300926	25002.240472382593	79441.12760125005
401.93938546478404	212.0	106.0	109.0	34.0	13.0	3544994.989226673	23.0	2115360.4957857914	80838.49997042168	29669.17856081277	85001.05426690643
402.31637457182694	208.0	112.0	101.0	38.0	15.0	3507954.3909501433	39.0	2074446.0420381746	78084.47649688838	29727.73969098817	84214.18385351889
400.37350825822386	209.0	108.0	105.0	36.0	16.0	3562335.8975674035	30.0	2218753.2994097997	78833.91953167124	31506.56382109774	95474.54374638585
