# reward	DS0	DS1	DS2	DS3	_DS4	Rft	Casualty	Cost	Resilce	CarbnEm	Enbbd
375.5040435222563	151.0	101.0	113.0	62.0	47.0	2785380.405063959	82.0	3960764.7419760046	106387.51078786206	58589.35455016525	163482.91703647294
379.37410645877986	151.0	106.0	107.0	68.0	42.0	2955255.6571155745	91.0	3916988.5447440064	103094.43592765178	56559.78747404894	158486.01359754647
374.12570585914443	148.0	108.0	104.0	68.0	46.0	2925542.0250575226	74.0	4051722.8359344676	104554.50953867313	64819.03696924127	168907.55403754424
374.1080427457857	153.0	101.0	111.0	61.0	48.0	2931433.2513997853	116.0	4215312.791155591	102779.43472188513	67564.13111170853	175771.63331062964
379.77119701242873	164.0	97.0	120.0	49.0	44.0	2869931.401574613	104.0	3675163.5452040294	99655.79462151049	62663.656992643344	153256.66661452054
378.17267560400035	166.0	96.0	104.0	59.0	49.0	2694993.0101431306	87.0	4214487.000603972	99105.52955494256	65780.64813630939	169830.2591418157
379.63738177776986	163.0	96.0	120.0	51.0	44.0	3082784.5694546197	75.0	3833880.43508098	101563.93763048353	53912.38334174703	159088.3726801164
372.8082535672747	158.0	101.0	104.0	59.0	52.0	3098566.2230468756	106.0	4219272.79844695	106791.91116292964	67727.17651320613	173147.3081130003
382.87654187007365	175.0	93.0	103.0	64.0	39.0	3009994.036161254	73.0	3797455.303803063	98946.78022818682	57467.18529020422	151157.12754924502
385.46535391528425	178.0	101.0	100.0	55.0	40.0	2910472.9608915667	76.0	3639705.5298522846	92201.73373453345	54327.3955521114	142331.49159686096
382.60103927657997	169.0	105.0	101.0	55.0	44.0	2939315.035620117	88.0	4018537.188406134	97522.94646306611	60090.44168408919	162136.59240372072
378.4300803821825	169.0	93.0	109.0	58.0	45.0	2945578.6996350093	69.0	3850669.434849873	101102.74697924251	61849.047160584494	159418.79910828936
378.7093571965724	165.0	93.0	112.0	61.0	43.0	3064987.0094697652	101.0	3857596.6996038756	102280.63576671088	62865.08382803413	160773.04206368953
378.0579933754722	145.0	100.0	126.0	60.0	43.0	2942261.4929247973	72.0	4396226.506591265	104521.29717607395	61248.18570616555	171420.0530456861
380.674657371759	158.0	98.0	122.0	55.0	41.0	3041993.710383727	71.0	4106968.2000677316	101297.6594827548	65207.44781202357	160588.79343021664
378.69246356580413	162.0	92.0	108.0	71.0	41.0	2794900.4512972813	89.0	4324275.5616961075	103302.15259263228	67858.42853742393	178942.77579097325
377.946668069846	161.0	93.0	111.0	64.0	45.0	2960562.9509027763	83.0	4236946.231817182	104055.64499545982	66667.25166647145	172963.52675567506
382.29377791469057	168.0	102.0	103.0	60.0	41.0	3120314.216346451	84.0	3724438.924485024	96531.58487103468	54169.032663772094	153918.35078533768
383.24333220212543	157.0	112.0	111.0	55.0	39.0	3077646.757343985	88.0	3319757.3396732453	92690.64948194576	51755.128514004304	132727.36720420435
374.50891932792894	165.0	81.0	120.0	58.0	50.0	2826098.067549197	107.0	4292635.726337589	102347.35849386523	66655.79475385495	172200.23600864245
383.81707466403924	171.0	90.0	112.0	63.0	38.0	2882816.478210802	82.0	3926520.9291414693	98308.77519027458	52775.45830113019	160588.89848337037
384.09244526796374	158.0	106.0	110.0	63.0	37.0	2885349.159294641	56.0	3484894.484582809	102226.01238392855	51777.99349752256	146266.62788244587
377.7845890947327	158.0	90.0	119.0	65.0	42.0	2910139.0005262317	101.0	3971568.6790712066	100563.70620482948	59410.13377736036	166327.2002687811
382.7274757976693	155.0	97.0	116.0	72.0	34.0	2816240.6182695096	59.0	3744638.1947911503	96708.02109939003	55987.59861860664	153184.6819974378
375.45990680776697	173.0	86.0	98.0	68.0	49.0	2918073.3679498746	126.0	4162467.9738762737	98941.30103502343	67911.04023206237	169134.87224723242
380.93498224695117	157.0	96.0	127.0	55.0	39.0	3045986.414755108	84.0	3971922.890048092	95857.65071396828	59376.49845663119	159944.62340456794
380.40504676589813	162.0	102.0	117.0	52.0	41.0	2855555.057321536	72.0	3740720.4944892563	95206.63689940955	68496.25738081988	160688.17576558108
375.0376187661416	160.0	91.0	104.0	69.0	50.0	2846628.548036038	61.0	4298066.225391963	104295.28519597283	68446.14393108821	176732.7051619376
378.0732951452055	154.0	102.0	116.0	64.0	38.0	2849710.396359098	98.0	3603050.192348142	103349.10255306638	59727.69674643482	146298.17085190897
380.9275986442984	165.0	90.0	117.0	58.0	44.0	2875605.126157009	86.0	4000514.803380847	96676.50312672148	57099.386672710665	164334.9279634976
379.92523385530603	161.0	93.0	113.0	66.0	41.0	2926831.565341994	63.0	3811085.7841062006	102394.05866983221	63218.64831337817	153814.64563904953
377.57920334983186	156.0	101.0	109.0	59.0	49.0	2806268.4233191945	91.0	3808315.1934081763	100089.15346578373	58799.01044335688	155865.72768030898
375.35035504548244	154.0	94.0	114.0	67.0	45.0	2924851.5284128347	79.0	3956735.8604576066	99183.20820882519	63925.68332347933	166566.51719323176
378.2024224371121	169.0	96.0	101.0	65.0	43.0	2900548.6379776457	72.0	3836792.2883649208	98596.76731512533	70775.14416091764	159541.06294393874
379.1860421823603	147.0	100.0	127.0	61.0	39.0	2906537.458524923	107.0	4071364.96623734	101110.32159596222	67814.05818138208	170000.67315362633
374.8680241240326	171.0	91.0	107.0	50.0	55.0	2742839.865293079	93.0	4246515.6522625815	101582.87179447437	64202.683677293164	168085.3328823896
380.86089155566003	160.0	94.0	111.0	73.0	36.0	2881413.716982237	37.0	3794142.85794416	100061.08049187847	58727.160294600646	158522.72588113724
380.0606158883284	176.0	81.0	109.0	64.0	44.0	2984731.112247955	70.0	4278820.284645915	98465.5916997939	64894.79291355097	170472.26571784125
376.0068504389808	149.0	108.0	106.0	63.0	48.0	2830993.1726887887	69.0	3969282.360217045	101036.7536819354	63546.442019303126	163585.58137791892
370.86249957598886	162.0	81.0	116.0	61.0	54.0	2818802.9653242547	118.0	4399649.659834592	106812.65068075288	76705.64094027998	177103.66077077086
381.5508720058348	161.0	93.0	119.0	62.0	39.0	2923158.1514409445	47.0	3594987.1511745322	100348.82856509002	55510.47452348022	151407.3838690291
374.0653823377115	164.0	90.0	111.0	57.0	52.0	2955441.7288162466	81.0	4228446.304917648	104106.18251136906	69851.9427356829	168795.39963228418
378.25841510693243	156.0	110.0	99.0	61.0	48.0	2823117.8376676366	96.0	4166720.733687455	95019.0215764896	62382.71952853136	167303.5308413383
387.89404074556967	179.0	99.0	103.0	64.0	29.0	2871229.063853248	58.0	3378832.937434289	90112.33663998867	48964.58145108033	139621.99931828646
375.0273484493165	146.0	95.0	122.0	65.0	46.0	2785791.195817097	147.0	4372784.145534575	106335.23780849576	77649.67096501512	180738.69535019418
